Date,Open,High,Low,Close,Adj Close,Volume
2020-02-13,615.000000,633.900024,614.349976,625.400024,623.487610,10201
2020-02-14,622.950012,679.900024,621.200012,654.049988,652.049988,123975
2020-02-17,660.049988,675.000000,631.000000,635.099976,635.099976,49208
2020-02-18,640.000000,655.000000,622.549988,637.200012,637.200012,27257
2020-02-19,637.700012,660.000000,635.099976,643.599976,643.599976,30432
2020-02-20,645.099976,687.000000,645.099976,673.200012,673.200012,63213
2020-02-24,672.900024,690.000000,660.000000,675.700012,675.700012,30650
2020-02-25,682.000000,686.000000,670.049988,677.750000,677.750000,22137
2020-02-26,679.950012,764.799988,665.549988,747.000000,747.000000,328446
2020-02-27,758.000000,811.950012,750.000000,764.549988,764.549988,609450
2020-02-28,740.000000,744.950012,670.099976,692.950012,692.950012,144137
2020-03-02,702.000000,729.000000,660.000000,668.299988,668.299988,82483
2020-03-03,680.000000,687.000000,641.099976,651.000000,651.000000,73215
2020-03-04,660.599976,669.950012,640.849976,654.299988,654.299988,49740
2020-03-05,666.000000,681.950012,661.150024,673.849976,673.849976,65622
2020-03-06,632.000000,679.000000,632.000000,669.049988,669.049988,43330
2020-03-09,655.000000,655.000000,618.000000,626.549988,626.549988,42344
2020-03-11,626.549988,642.549988,601.099976,612.150024,612.150024,33269
2020-03-12,569.000000,577.599976,511.000000,517.349976,517.349976,51615
2020-03-13,435.000000,560.000000,425.149994,543.900024,543.900024,54740
2020-03-16,543.000000,549.000000,502.549988,520.000000,520.000000,25939
2020-03-17,522.250000,548.000000,503.549988,514.750000,514.750000,23386
2020-03-18,515.150024,538.049988,461.950012,469.950012,469.950012,26601
2020-03-19,469.950012,474.000000,421.850006,465.799988,465.799988,35765
2020-03-20,488.000000,520.799988,468.000000,489.899994,489.899994,33138
2020-03-23,475.000000,578.099976,421.000000,461.750000,461.750000,21667
2020-03-24,542.299988,542.299988,459.049988,479.850006,479.850006,24222
2020-03-25,479.850006,493.100006,452.149994,475.899994,475.899994,15292
2020-03-26,490.000000,520.000000,478.000000,487.299988,487.299988,14416
2020-03-27,506.000000,514.900024,485.000000,499.649994,499.649994,16901
2020-03-30,488.000000,508.000000,483.750000,487.500000,487.500000,10922
2020-03-31,507.299988,515.000000,492.100006,502.299988,502.299988,13134
2020-04-01,508.000000,539.450012,500.000000,517.500000,517.500000,33444
2020-04-03,527.700012,547.000000,520.150024,540.750000,540.750000,25364
2020-04-07,551.000000,620.000000,551.000000,607.849976,607.849976,53647
2020-04-08,627.000000,669.299988,605.000000,631.599976,631.599976,75970
2020-04-09,650.000000,665.000000,639.549988,644.950012,644.950012,42691
2020-04-13,645.000000,690.000000,625.000000,681.099976,681.099976,68269
2020-04-15,700.000000,713.000000,655.000000,665.349976,665.349976,51319
2020-04-16,668.000000,703.900024,550.000000,678.750000,678.750000,36915
2020-04-17,700.000000,708.950012,661.650024,670.250000,670.250000,24778
2020-04-20,679.000000,679.000000,656.000000,658.750000,658.750000,15597
2020-04-21,646.000000,677.000000,636.950012,657.349976,657.349976,30645
2020-04-22,651.599976,668.950012,650.950012,662.250000,662.250000,33958
2020-04-23,670.000000,672.000000,658.200012,665.900024,665.900024,17059
2020-04-24,665.900024,735.000000,665.400024,722.450012,722.450012,239552
2020-04-27,739.000000,765.000000,723.000000,740.349976,740.349976,196738
2020-04-28,749.049988,766.700012,732.000000,743.950012,743.950012,94788
2020-04-29,749.000000,751.900024,729.000000,731.099976,731.099976,40825
2020-04-30,745.000000,745.000000,706.099976,715.200012,715.200012,41667
2020-05-04,704.000000,743.000000,692.000000,715.099976,715.099976,74791
2020-05-05,714.000000,731.000000,702.349976,707.650024,707.650024,33326
2020-05-06,707.650024,739.849976,700.549988,720.250000,720.250000,30646
2020-05-07,726.000000,769.799988,715.650024,760.900024,760.900024,192306
2020-05-08,771.000000,782.950012,732.650024,754.349976,754.349976,136363
2020-05-11,754.000000,779.450012,750.000000,767.599976,767.599976,87960
2020-05-12,770.000000,779.000000,750.000000,770.099976,770.099976,61864
2020-05-13,778.000000,780.799988,761.700012,764.450012,764.450012,38310
2020-05-14,753.299988,850.000000,753.299988,835.549988,835.549988,465273
2020-05-15,857.000000,874.900024,823.000000,863.349976,863.349976,968972
2020-05-18,870.049988,873.849976,775.099976,794.200012,794.200012,422830
2020-05-19,790.000000,818.000000,762.099976,766.650024,766.650024,215552
2020-05-20,767.000000,799.900024,766.299988,797.150024,797.150024,117272
2020-05-21,798.000000,848.950012,793.900024,842.650024,842.650024,285838
2020-05-22,845.450012,870.000000,832.250000,852.150024,852.150024,158912
2020-05-26,862.500000,889.750000,853.049988,883.950012,883.950012,200565
2020-05-27,888.000000,890.000000,863.000000,879.700012,879.700012,103097
2020-05-28,879.950012,951.000000,871.000000,936.849976,936.849976,335532
2020-05-29,947.000000,995.000000,942.099976,972.250000,972.250000,464105
2020-06-01,976.000000,978.799988,941.000000,955.599976,955.599976,153588
2020-06-02,954.750000,971.950012,943.200012,949.200012,949.200012,110068
2020-06-03,956.000000,999.000000,945.299988,987.650024,987.650024,270782
2020-06-04,993.000000,1028.699951,982.000000,1005.250000,1005.250000,213451
2020-06-05,1006.000000,1014.900024,988.099976,999.049988,999.049988,113238
2020-06-08,1002.000000,1014.000000,965.099976,985.849976,985.849976,90553
2020-06-09,985.000000,1010.000000,975.400024,984.250000,984.250000,79780
2020-06-10,990.200012,1001.049988,977.000000,989.400024,989.400024,81760
2020-06-11,984.900024,989.400024,967.000000,970.400024,970.400024,52480
2020-06-12,911.099976,984.000000,911.099976,974.950012,974.950012,175044
2020-06-15,982.000000,999.900024,970.000000,974.549988,974.549988,126035
2020-06-16,982.500000,1016.500000,940.650024,1003.299988,1003.299988,591833
2020-06-17,1039.000000,1077.300049,1016.750000,1053.900024,1053.900024,564116
2020-06-18,1047.849976,1075.800049,1030.449951,1042.050049,1042.050049,153057
2020-06-19,1047.650024,1071.000000,1044.949951,1064.550049,1064.550049,173890
2020-06-22,1070.000000,1143.000000,1062.800049,1132.900024,1132.900024,191899
2020-06-23,1141.000000,1240.000000,1132.250000,1206.949951,1206.949951,245636
2020-06-24,1214.000000,1216.000000,1165.349976,1175.949951,1175.949951,109239
2020-06-25,1213.900024,1213.900024,1140.000000,1183.849976,1183.849976,89498
2020-06-26,1189.800049,1300.000000,1189.800049,1282.750000,1282.750000,224369
2020-06-29,1281.000000,1282.000000,1250.050049,1269.599976,1269.599976,61837
2020-06-30,1285.000000,1303.400024,1260.050049,1270.550049,1270.550049,89351
2020-07-01,1271.949951,1305.349976,1270.000000,1276.250000,1276.250000,61875
2020-07-02,1279.650024,1289.000000,1240.000000,1259.099976,1259.099976,41219
2020-07-03,1264.000000,1292.000000,1241.500000,1277.349976,1277.349976,51285
2020-07-06,1288.000000,1325.000000,1262.000000,1320.400024,1320.400024,87185
2020-07-07,1320.099976,1335.000000,1310.550049,1326.449951,1326.449951,48121
2020-07-08,1346.000000,1394.000000,1331.250000,1357.550049,1357.550049,138279
2020-07-09,1377.000000,1390.000000,1357.949951,1382.599976,1382.599976,81843
2020-07-10,1382.599976,1387.250000,1344.000000,1359.949951,1359.949951,54279
2020-07-13,1374.949951,1390.000000,1342.050049,1354.199951,1354.199951,40805
2020-07-14,1356.000000,1364.250000,1322.050049,1350.449951,1350.449951,28908
2020-07-15,1355.000000,1459.900024,1355.000000,1419.449951,1419.449951,141273
2020-07-16,1421.000000,1432.000000,1375.000000,1424.699951,1424.699951,52635
2020-07-17,1441.849976,1507.000000,1440.000000,1488.849976,1488.849976,133954
2020-07-20,1502.250000,1544.000000,1430.000000,1453.550049,1453.550049,153303
2020-07-21,1466.000000,1479.199951,1431.000000,1439.050049,1439.050049,70868
2020-07-22,1444.000000,1491.349976,1440.000000,1471.449951,1471.449951,48542
2020-07-23,1476.000000,1499.900024,1468.000000,1481.800049,1481.800049,44322
2020-07-24,1482.000000,1597.900024,1463.000000,1586.550049,1586.550049,202590
2020-07-27,1677.000000,1805.000000,1632.349976,1745.050049,1745.050049,779575
2020-07-28,1769.900024,1788.000000,1692.050049,1727.050049,1727.050049,212954
2020-07-29,1733.699951,1749.900024,1655.000000,1668.400024,1668.400024,129537
2020-07-30,1684.949951,1740.000000,1669.000000,1707.699951,1707.699951,163506
2020-07-31,1710.000000,1750.000000,1710.000000,1740.250000,1740.250000,109970
2020-08-03,1771.000000,1794.000000,1727.400024,1747.000000,1747.000000,135198
2020-08-04,1750.000000,1751.500000,1701.000000,1732.750000,1732.750000,105850
2020-08-05,1747.250000,1904.000000,1740.000000,1881.650024,1881.650024,394815
2020-08-06,1910.000000,2257.949951,1900.000000,2218.750000,2218.750000,674498
2020-08-07,2300.000000,2550.000000,2281.250000,2356.449951,2356.449951,1214105
2020-08-10,2370.000000,2474.899902,2215.000000,2294.449951,2294.449951,593519
2020-08-11,2310.300049,2319.399902,2164.000000,2182.550049,2182.550049,186723
2020-08-12,2195.000000,2195.050049,2041.000000,2073.199951,2073.199951,223258
